Width	Height	nb_Planes	nb_Tracks	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
200	200	5000	87144	0.160	0.020	X Y sigmaX sigmaY	False
Track	Plane	CentroidX(px)	CentroidY(px)	CentroidZ(um)	Integrated_Intensity	id	Pair_Distance(px)
 10	 27	 79.0475616455078	 89.9717102050781	-1	 787.123901367188	 518	 0
 10	 28	 78.8970260620117	 90.1229782104492	-1	 592.765319824219	 546	 0
 10	 29	 80.438835144043	 91.679313659668	-1	 1415.04809570313	 582	 0
 10	 30	 79.9466323852539	 91.0742111206055	-1	 1218.35485839844	 604	 0
 10	 31	 80.504264831543	 92.185432434082	-1	 1228.72912597656	 630	 0
 10	 32	 78.854248046875	 90.6039733886719	-1	 1198.80688476563	 647	 0
 10	 33	 80.5285720825195	 90.9736175537109	-1	 1352.29931640625	 670	 0
 10	 34	 80.0374755859375	 91.2849578857422	-1	 1187.37243652344	 693	 0
 10	 35	 81.1325454711914	 91.9612197875977	-1	 599.743896484375	 722	 0
 10	 36	 82.3970108032227	 90.0095367431641	-1	 424.140747070313	 753	 0
 10	 37	 80.6582489013672	 92.0187301635742	-1	 789.260925292969	 768	 0
 10	 38	 78.7637405395508	 89.9893569946289	-1	 542.997009277344	 799	 0
 10	 39	 79.110237121582	 90.6454925537109	-1	 982.120727539063	 829	 0
 10	 40	 79.3760299682617	 90.7465362548828	-1	 776.054443359375	 851	 0
 11	 28	 36.0515327453613	 145.703201293945	-1	 996.890625	 553	 0
 11	 29	 35.6972961425781	 145.742034912109	-1	 891.761596679688	 586	 0
 11	 30	 36.1258811950684	 145.815185546875	-1	 648.132019042969	 613	 0
 11	 31	 35.9221267700195	 145.746231079102	-1	 719.230834960938	 639	 0
 11	 32	 35.538932800293	 145.509262084961	-1	 548.990112304688	 662	 0
 11	 33	 35.5568428039551	 146.146011352539	-1	 524.521728515625	 680	 0
 11	 34	 36.89501953125	 147.145172119141	-1	 921.287170410156	 709	 0
 11	 35	 36.1064605712891	 146.282577514648	-1	 1704.45166015625	 729	 0
 11	 36	 36.043586730957	 145.879333496094	-1	 729.790283203125	 743	 0
 11	 37	 36.6638793945313	 146.28369140625	-1	 993.171936035156	 763	 0
